               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12487,            0.050917,            0.099405,          0.00084623,           0.0077412,          0.00056268,          0.00011194,             0.11626,            0.047237,            0.097058,               0.091,               0.001,               0.001
                   1,             0.11852,            0.055094,            0.098051,           0.0015176,            0.023976,           0.0020303,          0.00045755,             0.10585,            0.050724,             0.09594,            0.081093,           0.0020931,           0.0020931
                   2,             0.10895,            0.058548,             0.09706,           0.0037747,            0.073076,            0.005072,           0.0011827,             0.09753,            0.053165,            0.094801,            0.071179,           0.0031789,           0.0031789
                   3,             0.10159,            0.062591,            0.094553,             0.77244,            0.008674,           0.0077394,           0.0016247,            0.089729,            0.052732,            0.093227,            0.061257,           0.0042574,           0.0042574
                   4,            0.097538,            0.061729,             0.09262,           0.0052488,            0.078916,           0.0056413,           0.0014789,            0.087468,              0.0465,            0.091089,            0.051329,           0.0053287,           0.0053287
                   5,            0.092989,            0.064295,            0.090669,           0.0049729,            0.035888,           0.0067855,           0.0017119,            0.086327,            0.050509,            0.089353,            0.041393,           0.0063927,           0.0063927
                   6,            0.092213,            0.052997,            0.087866,             0.00777,            0.036241,           0.0070997,           0.0024038,            0.089777,            0.048104,            0.087777,             0.03145,           0.0074495,           0.0074495
                   7,             0.08799,            0.050579,            0.086512,              0.2148,            0.014939,           0.0048026,           0.0010999,            0.092679,            0.055368,            0.087273,            0.021499,            0.008499,            0.008499
                   8,            0.090583,            0.050916,            0.086134,             0.56935,            0.030228,            0.011417,           0.0038911,             0.08757,            0.045534,            0.085118,            0.011541,           0.0095413,           0.0095413
                   9,             0.08595,            0.047725,            0.084373,             0.60121,            0.032729,            0.017018,           0.0060364,            0.083548,            0.037413,            0.083121,            0.009703,            0.009703,            0.009703
                  10,            0.082859,            0.046594,            0.081943,             0.56831,            0.057976,            0.013941,           0.0039316,            0.089988,             0.03658,            0.082227,            0.009703,            0.009703,            0.009703
                  11,            0.078959,            0.051616,            0.081938,             0.66755,            0.024476,           0.0068294,           0.0014929,            0.096548,             0.04039,            0.081757,             0.00967,             0.00967,             0.00967
                  12,             0.09449,            0.046022,             0.08178,             0.80021,            0.014162,           0.0053383,           0.0017432,             0.10391,            0.033968,            0.080529,            0.009637,            0.009637,            0.009637
                  13,            0.095362,            0.038755,            0.080266,               0.809,            0.021595,            0.012399,           0.0029743,            0.095549,            0.030913,            0.080568,            0.009604,            0.009604,            0.009604
                  14,            0.092976,            0.039736,            0.080222,             0.77143,            0.033179,            0.015258,           0.0036464,            0.088285,            0.030337,            0.079411,            0.009571,            0.009571,            0.009571
                  15,            0.081385,            0.039857,            0.077508,             0.77266,            0.046864,            0.019736,           0.0067297,            0.079671,            0.032885,            0.078852,            0.009538,            0.009538,            0.009538
                  16,            0.075138,            0.052906,            0.078719,             0.77056,            0.036669,            0.014614,           0.0046136,            0.085948,            0.044478,            0.078793,            0.009505,            0.009505,            0.009505
                  17,            0.081893,            0.051558,            0.077651,              0.8536,            0.033187,            0.021193,           0.0068632,            0.074287,            0.034179,            0.077301,            0.009472,            0.009472,            0.009472
                  18,            0.074775,            0.046187,            0.077779,             0.85103,            0.041611,            0.025575,           0.0065088,            0.074264,            0.031365,             0.07694,            0.009439,            0.009439,            0.009439
                  19,            0.071174,            0.041419,            0.078592,             0.81896,            0.030985,            0.024313,           0.0077438,            0.083024,            0.031919,            0.076124,            0.009406,            0.009406,            0.009406
                  20,            0.078981,            0.043786,            0.077614,             0.85159,            0.059404,            0.031397,           0.0098657,            0.066133,             0.03199,            0.075987,            0.009373,            0.009373,            0.009373
                  21,            0.069308,            0.044746,             0.07676,             0.85101,            0.048449,            0.036399,            0.013404,             0.06726,            0.034288,            0.075812,             0.00934,             0.00934,             0.00934
                  22,            0.071834,            0.042273,            0.076837,             0.86122,            0.055122,            0.029229,           0.0076409,            0.069658,            0.031375,            0.075205,            0.009307,            0.009307,            0.009307
                  23,            0.067856,            0.049542,            0.076183,              0.8822,            0.059399,            0.052201,             0.01739,             0.05731,            0.030844,            0.074864,            0.009274,            0.009274,            0.009274
                  24,            0.059708,            0.042131,            0.076663,             0.88213,            0.055663,            0.047665,            0.015932,            0.066151,             0.03055,            0.074281,            0.009241,            0.009241,            0.009241
                  25,            0.069888,            0.039627,            0.077723,             0.88769,            0.061847,            0.066938,            0.027267,            0.052476,            0.029374,            0.074245,            0.009208,            0.009208,            0.009208
                  26,            0.066044,            0.041297,            0.075117,             0.90475,            0.054573,            0.062388,            0.022865,            0.061301,            0.030086,            0.074024,            0.009175,            0.009175,            0.009175
                  27,            0.059141,            0.042648,              0.0764,             0.90932,             0.05716,            0.066751,            0.019846,            0.061295,            0.031947,            0.073998,            0.009142,            0.009142,            0.009142
                  28,            0.064227,            0.038062,            0.072988,             0.92753,            0.063892,             0.09426,            0.041996,            0.059652,             0.02876,            0.073691,            0.009109,            0.009109,            0.009109
                  29,            0.061449,            0.035126,            0.072878,             0.91683,            0.065534,            0.099399,            0.043969,            0.052662,             0.02881,            0.073492,            0.009076,            0.009076,            0.009076
                  30,            0.057312,            0.042442,            0.073618,             0.89527,            0.063637,            0.082718,            0.033128,            0.055435,            0.029383,            0.073327,            0.009043,            0.009043,            0.009043
                  31,            0.066682,            0.042114,            0.075427,             0.88752,            0.060434,            0.076675,            0.033545,            0.054216,            0.029087,            0.073029,             0.00901,             0.00901,             0.00901
                  32,            0.053195,            0.043985,            0.074649,              0.8836,            0.065757,            0.080279,            0.033892,             0.04922,            0.030051,            0.072649,            0.008977,            0.008977,            0.008977
                  33,            0.060092,            0.044219,            0.072411,             0.89953,            0.055471,            0.080532,            0.029475,            0.057367,            0.028168,            0.072267,            0.008944,            0.008944,            0.008944
                  34,            0.059604,            0.042794,            0.074626,             0.91219,            0.057399,            0.099441,            0.046545,            0.050499,            0.026977,             0.07206,            0.008911,            0.008911,            0.008911
                  35,            0.050733,            0.036845,            0.072451,             0.88864,            0.070047,              0.0507,            0.021779,            0.057169,            0.031754,            0.071876,            0.008878,            0.008878,            0.008878
                  36,            0.058858,            0.038015,            0.072084,             0.88718,             0.07312,            0.093634,            0.042084,            0.048484,            0.027184,            0.071512,            0.008845,            0.008845,            0.008845
                  37,            0.052522,             0.03689,             0.07314,             0.90314,            0.075244,             0.10685,            0.054678,            0.045314,             0.02719,            0.071309,            0.008812,            0.008812,            0.008812
                  38,            0.055885,            0.035136,            0.072171,             0.89255,            0.082397,            0.092547,            0.044186,            0.051475,            0.026871,            0.070976,            0.008779,            0.008779,            0.008779
                  39,            0.054623,            0.033466,             0.07231,              0.8925,            0.086874,             0.10712,            0.044892,            0.043316,            0.026159,            0.070903,            0.008746,            0.008746,            0.008746
                  40,            0.048001,            0.040149,            0.071166,             0.89203,            0.084651,            0.097172,             0.05133,            0.051815,            0.027136,             0.07055,            0.008713,            0.008713,            0.008713
                  41,            0.058452,            0.034124,            0.072254,             0.81402,            0.084331,             0.10735,            0.044057,            0.045678,            0.026492,             0.07046,             0.00868,             0.00868,             0.00868
                  42,            0.052976,            0.037271,            0.071318,             0.84755,            0.086211,            0.089355,            0.035684,            0.047986,            0.026502,            0.070139,            0.008647,            0.008647,            0.008647
                  43,            0.046594,            0.039836,            0.070495,             0.87428,            0.076043,            0.070653,            0.025181,            0.055459,            0.027243,            0.069905,            0.008614,            0.008614,            0.008614
                  44,            0.058793,            0.042598,            0.071153,             0.87009,            0.087137,            0.076257,            0.032263,            0.048016,            0.025528,            0.069487,            0.008581,            0.008581,            0.008581
                  45,             0.05026,            0.040796,            0.072458,             0.61806,             0.12953,             0.11394,            0.047007,            0.043609,            0.026034,            0.069279,            0.008548,            0.008548,            0.008548
                  46,            0.047894,            0.036868,            0.070661,             0.82578,            0.077361,            0.094418,            0.049296,            0.045609,             0.02652,            0.068755,            0.008515,            0.008515,            0.008515
                  47,            0.051868,            0.041738,             0.06917,             0.87409,            0.086878,             0.12302,            0.061624,            0.040187,            0.025488,            0.068591,            0.008482,            0.008482,            0.008482
                  48,            0.043262,            0.034492,            0.071371,             0.83142,            0.082362,             0.11445,            0.049965,            0.052762,            0.025826,            0.068082,            0.008449,            0.008449,            0.008449
